start training greencrab
Start training for LSTM_PPO
Using cpu device
Wrapping the env with a `Monitor` wrapper
Wrapping the env in a DummyVecEnv.
Logging to /home/rstudio/logs/RecurrentPPO_6
---------------------------------
| rollout/           |          |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0276     |
|    n_updates            | 22860       |
|    policy_gradient_loss | -0.016      |
|    std                  | 0.433       |
|    value_loss           | 6.65e-08    |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 101         |
|    ep_rew_mean          | -0.000805   |
| time/                   |             |
|    fps                  | 10          |
|    iterations           | 2288        |
|    time_elapsed         | 28538       |
|    total_timesteps      | 292864      |
| train/                  |             |
|    approx_kl            | 0.023461873 |
|    clip_fraction        | 0.255       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.406      |
|    explained_variance   | -1.52       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0298     |
|    n_updates            | 22870       |
|    policy_gradient_loss | -0.0189     |
|    std                  | 0.433       |
|    value_loss           | 3.62e-08    |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 101         |
|    ep_rew_mean          | -0.000805   |
| time/                   |             |
|    fps                  | 10          |
|    iterations           | 2289        |
|    time_elapsed         | 28547       |
|    total_timesteps      | 292992      |
| train/                  |             |
|    approx_kl            | 0.029037863 |
|    clip_fraction        | 0.198       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.405      |
|    explained_variance   | -1.54       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0123     |
|    n_updates            | 22880       |
|    policy_gradient_loss | -0.00726    |
|    std                  | 0.433       |
|    value_loss           | 3.49e-08    |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 101         |
|    ep_rew_mean          | -0.000804   |
| time/                   |             |
|    fps                  | 10          |
|    iterations           | 2290        |
|    time_elapsed         | 28556       |
|    total_timesteps      | 293120      |
| train/                  |             |
|    approx_kl            | 0.029083738 |
|    clip_fraction        | 0.0914      |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.402      |
|    explained_variance   | -2          |
|    learning_rate        | 0.0003      |
|    loss                 | -0.022      |
|    n_updates            | 22890       |
|    policy_gradient_loss | -0.0131     |
|    std                  | 0.433       |
|    value_loss           | 3.63e-08    |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 101         |
|    ep_rew_mean          | -0.000804   |
| time/                   |             |
|    fps                  | 10          |
|    iterations           | 2291        |
|    time_elapsed         | 28569       |
|    total_timesteps      | 293248      |
| train/                  |             |
|    approx_kl            | 0.020712014 |
|    clip_fraction        | 0.19        |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.4        |
|    explained_variance   | -1.8        |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0391     |
|    n_updates            | 22900       |
|    policy_gradient_loss | -0.0223     |
|    std                  | 0.433       |
|    value_loss           | 6.63e-08    |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 101        |
|    ep_rew_mean          | -0.000804  |
| time/                   |            |
|    fps                  | 10         |
|    iterations           | 2292       |
|    time_elapsed         | 28578      |
|    total_timesteps      | 293376     |
| train/                  |            |
|    approx_kl            | 0.01842457 |
|    clip_fraction        | 0.211      |
|    clip_range           | 0.2        |
|    entropy_loss         | -0.396     |
|    explained_variance   | -2.44      |
|    learning_rate        | 0.0003     |
|    loss                 | -0.0181    |
|    n_updates            | 22910      |
|    policy_gradient_loss | -0.0156    |
|    std                  | 0.432      |
